"participant";"straight";"planar_intersection";"valence";"acc";"object";"surface";"pair";"stimsuj";"badtry";"sex";"age"
"part51";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"11_part51";0;"F";29
"part51";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"12_part51";0;"F";29
"part51";"0";"1";1;1;"cone_c_i_tr";"cone";"tr";"13_part51";0;"F";29
"part51";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"14_part51";0;"F";29
"part51";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"15_part51";0;"F";29
"part51";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"16_part51";0;"F";29
"part51";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"17_part51";0;"F";29
"part51";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"18_part51";0;"F";29
"part51";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"19_part51";0;"F";29
"part51";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"1_part51";1;"F";29
"part51";"1";"0";0;1;"cyli_d_ni_spl";"cyli";"spl";"20_part51";0;"F";29
"part51";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"21_part51";0;"F";29
"part51";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"22_part51";0;"F";29
"part51";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"25_part51";0;"F";29
"part51";"0";"1";0;0;"cyli_c_i_el";"cyli";"el";"26_part51";0;"F";29
"part51";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"28_part51";0;"F";29
"part51";"0";"0";1;0;"cone_c_ni_tr";"cone";"tr";"29_part51";0;"F";29
"part51";"0";"1";1;1;"cube_c_i_car";"cube";"car";"2_part51";0;"F";29
"part51";"0";"1";1;1;"cube_c_i_rec";"cube";"rec";"3_part51";0;"F";29
"part51";"0";"1";1;1;"cube_c_i_tri";"cube";"tri";"4_part51";0;"F";29
"part51";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"5_part51";0;"F";29
"part51";"1";"0";0;1;"cyli_d_ni_spe1";"cyli";"spe1";"6_part51";0;"F";29
"part51";"1";"0";0;1;"cube_d_ni_el";"cube";"el";"7_part51";0;"F";29
"part51";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"8_part51";0;"F";29
"part51";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"9_part51";0;"F";29
"part56";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"10_part56";0;"M";29
"part56";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"11_part56";0;"M";29
"part56";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"13_part56";0;"M";29
"part56";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"14_part56";0;"M";29
"part56";"0";"1";1;1;"cyli_c_i_el";"cyli";"el";"15_part56";0;"M";29
"part56";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"16_part56";0;"M";29
"part56";"0";"1";1;1;"cube_c_i_tri";"cube";"tri";"17_part56";0;"M";29
"part56";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"18_part56";0;"M";29
"part56";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"19_part56";0;"M";29
"part56";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"1_part56";0;"M";29
"part56";"1";"0";0;1;"cyli_d_ni_spe1";"cyli";"spe1";"20_part56";0;"M";29
"part56";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"21_part56";0;"M";29
"part56";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"22_part56";0;"M";29
"part56";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"23_part56";0;"M";29
"part56";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"24_part56";0;"M";29
"part56";"0";"1";1;1;"cube_c_i_rec";"cube";"rec";"26_part56";0;"M";29
"part56";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"27_part56";0;"M";29
"part56";"0";"1";1;1;"cube_c_i_car";"cube";"car";"28_part56";0;"M";29
"part56";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"29_part56";0;"M";29
"part56";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"2_part56";0;"M";29
"part56";"1";"0";0;1;"cube_d_ni_el";"cube";"el";"4_part56";0;"M";29
"part56";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"5_part56";0;"M";29
"part56";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"6_part56";0;"M";29
"part56";"1";"0";0;1;"cyli_d_ni_spl";"cyli";"spl";"7_part56";0;"M";29
"part56";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"8_part56";0;"M";29
"part56";"0";"1";1;1;"cone_c_i_tr";"cone";"tr";"9_part56";0;"M";29
"part57";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"10_part57";0;"M";21
"part57";"0";"1";1;1;"cone_c_i_tr";"cone";"tr";"12_part57";0;"M";21
"part57";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"13_part57";0;"M";21
"part57";"1";"1";0;0;"cube_d_i_tri";"cube";"tri";"14_part57";0;"M";21
"part57";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"15_part57";0;"M";21
"part57";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"16_part57";0;"M";21
"part57";"0";"1";0;0;"cyli_c_i_el";"cyli";"el";"17_part57";0;"M";21
"part57";"0";"1";1;1;"cube_c_i_tri";"cube";"tri";"18_part57";0;"M";21
"part57";"1";"0";0;1;"cyli_d_ni_spe1";"cyli";"spe1";"19_part57";0;"M";21
"part57";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"1_part57";0;"M";21
"part57";"1";"0";0;1;"cube_d_ni_el";"cube";"el";"20_part57";0;"M";21
"part57";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"21_part57";0;"M";21
"part57";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"22_part57";0;"M";21
"part57";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"23_part57";0;"M";21
"part57";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"24_part57";0;"M";21
"part57";"0";"1";1;1;"cube_c_i_car";"cube";"car";"26_part57";0;"M";21
"part57";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"27_part57";0;"M";21
"part57";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"28_part57";0;"M";21
"part57";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"29_part57";0;"M";21
"part57";"1";"0";0;1;"cyli_d_ni_spl";"cyli";"spl";"2_part57";0;"M";21
"part57";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"3_part57";0;"M";21
"part57";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"4_part57";0;"M";21
"part57";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"5_part57";0;"M";21
"part57";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"6_part57";0;"M";21
"part57";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"7_part57";0;"M";21
"part57";"0";"1";1;1;"cube_c_i_rec";"cube";"rec";"8_part57";0;"M";21
"part58";"1";"0";0;1;"cyli_d_ni_spl";"cyli";"spl";"10_part58";0;"F";20
"part58";"0";"1";1;1;"cube_c_i_tri";"cube";"tri";"11_part58";0;"F";20
"part58";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"12_part58";0;"F";20
"part58";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"13_part58";0;"F";20
"part58";"0";"1";1;1;"cone_c_i_tr";"cone";"tr";"15_part58";0;"F";20
"part58";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"16_part58";0;"F";20
"part58";"0";"0";1;0;"cone_c_ni_tr";"cone";"tr";"17_part58";0;"F";20
"part58";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"18_part58";0;"F";20
"part58";"1";"0";0;1;"cube_d_ni_el";"cube";"el";"19_part58";0;"F";20
"part58";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"1_part58";0;"F";20
"part58";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"20_part58";0;"F";20
"part58";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"21_part58";0;"F";20
"part58";"0";"0";1;0;"cyli_c_ni_eld";"cyli";"eld";"22_part58";0;"F";20
"part58";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"23_part58";0;"F";20
"part58";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"24_part58";0;"F";20
"part58";"0";"1";1;1;"cyli_c_i_el";"cyli";"el";"25_part58";0;"F";20
"part58";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"26_part58";0;"F";20
"part58";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"29_part58";0;"F";20
"part58";"0";"1";1;1;"cube_c_i_rec";"cube";"rec";"2_part58";0;"F";20
"part58";"1";"0";0;1;"cyli_d_ni_spe1";"cyli";"spe1";"3_part58";0;"F";20
"part58";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"4_part58";0;"F";20
"part58";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"5_part58";0;"F";20
"part58";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"6_part58";0;"F";20
"part58";"1";"0";0;1;"cone_d_ni_rub";"cone";"rub";"7_part58";0;"F";20
"part58";"0";"1";1;1;"cube_c_i_car";"cube";"car";"8_part58";0;"F";20
"part58";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"9_part58";0;"F";20
"part59";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"10_part59";0;"F";19
"part59";"0";"1";1;1;"cube_c_i_car";"cube";"car";"11_part59";0;"F";19
"part59";"0";"1";1;1;"sphe_c_i_pc";"sphe";"pc";"12_part59";0;"F";19
"part59";"0";"1";1;1;"cube_c_i_rec";"cube";"rec";"13_part59";0;"F";19
"part59";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"15_part59";0;"F";19
"part59";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"16_part59";0;"F";19
"part59";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"17_part59";0;"F";19
"part59";"0";"1";1;1;"cone_c_i_ce";"cone";"ce";"18_part59";0;"F";19
"part59";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"19_part59";0;"F";19
"part59";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"20_part59";0;"F";19
"part59";"0";"1";1;1;"cyli_c_i_el";"cyli";"el";"21_part59";0;"F";19
"part59";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"22_part59";0;"F";19
"part59";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"23_part59";0;"F";19
"part59";"0";"1";1;1;"cone_c_i_tr";"cone";"tr";"24_part59";0;"F";19
"part59";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"25_part59";0;"F";19
"part59";"1";"0";0;1;"cyli_d_ni_spl";"cyli";"spl";"26_part59";0;"F";19
"part59";"0";"0";1;0;"cyli_c_ni_eld";"cyli";"eld";"27_part59";0;"F";19
