"participant";"straight";"planar_intersection";"valence";"acc";"object";"surface";"pair";"stimsuj";"badtry";"sex";"age"
"part28";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"20_part28";0;"M";21
"part28";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"21_part28";0;"M";21
"part28";"0";"1";1;0;"cone_c_i_ce";"cone";"ce";"22_part28";0;"M";21
"part28";"0";"1";1;0;"sphe_c_i_pc";"sphe";"pc";"23_part28";0;"M";21
"part28";"1";"1";0;0;"cube_d_i_ca";"cube";"ca";"24_part28";0;"M";21
"part28";"0";"1";0;1;"cube_c_i_rec";"cube";"rec";"25_part28";0;"M";21
"part28";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"26_part28";0;"M";21
"part28";"1";"1";0;0;"cube_d_i_tri";"cube";"tri";"27_part28";0;"M";21
"part28";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"28_part28";0;"M";21
"part28";"1";"0";0;0;"cyli_d_ni_spe1";"cyli";"spe1";"29_part28";0;"M";21
"part28";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"2_part28";0;"M";21
"part28";"0";"1";0;1;"cube_c_i_tri";"cube";"tri";"3_part28";0;"M";21
"part28";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"4_part28";0;"M";21
"part28";"1";"0";0;0;"cyli_d_ni_spl";"cyli";"spl";"7_part28";0;"M";21
"part28";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"8_part28";0;"M";21
"part28";"0";"1";0;1;"cube_c_i_car";"cube";"car";"9_part28";0;"M";21
"part29";"0";"0";0;1;"cone_c_ni_tr";"cone";"tr";"10_part29";0;"M";23
"part29";"0";"0";0;1;"cyli_c_ni_spe1c";"cyli";"spe1c";"11_part29";0;"M";23
"part29";"1";"0";0;0;"cyli_d_ni_spl";"cyli";"spl";"12_part29";0;"M";23
"part29";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"13_part29";0;"M";23
"part29";"0";"0";0;1;"cyli_c_ni_splt";"cyli";"splt";"14_part29";0;"M";23
"part29";"0";"1";0;1;"cube_c_i_rec";"cube";"rec";"16_part29";0;"M";23
"part29";"0";"0";0;1;"cube_c_ni_rec";"cube";"rec";"17_part29";0;"M";23
"part29";"1";"0";0;0;"cyli_d_ni_spe1";"cyli";"spe1";"19_part29";0;"M";23
"part29";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"1_part29";0;"M";23
"part29";"1";"1";1;1;"cube_d_i_tri";"cube";"tri";"20_part29";0;"M";23
"part29";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"21_part29";0;"M";23
"part29";"0";"0";0;1;"cyli_c_ni_eld";"cyli";"eld";"22_part29";0;"M";23
"part29";"1";"1";1;1;"cyli_d_i_c";"cyli";"c";"23_part29";0;"M";23
"part29";"0";"1";0;1;"cube_c_i_tri";"cube";"tri";"24_part29";0;"M";23
"part29";"0";"1";0;1;"cone_c_i_tr";"cone";"tr";"25_part29";0;"M";23
"part29";"0";"1";1;0;"sphe_c_i_pc";"sphe";"pc";"26_part29";0;"M";23
"part29";"0";"1";1;0;"cone_c_i_ce";"cone";"ce";"27_part29";0;"M";23
"part29";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"28_part29";0;"M";23
"part29";"0";"1";1;0;"cyli_c_i_el";"cyli";"el";"29_part29";0;"M";23
"part29";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"2_part29";0;"M";23
"part29";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"3_part29";0;"M";23
"part29";"0";"0";0;1;"cyli_c_ni_splc";"cyli";"splc";"4_part29";0;"M";23
"part29";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"5_part29";0;"M";23
"part29";"1";"0";0;0;"cone_d_ni_rub";"cone";"rub";"6_part29";0;"M";23
"part29";"1";"0";0;0;"cube_d_ni_el";"cube";"el";"7_part29";0;"M";23
"part29";"0";"1";1;0;"cube_c_i_car";"cube";"car";"8_part29";0;"M";23
"part30";"1";"1";0;0;"cube_d_i_tri";"cube";"tri";"10_part30";0;"F";22
"part30";"1";"1";1;1;"cube_d_i_ca";"cube";"ca";"11_part30";0;"F";22
"part30";"1";"0";1;1;"cyli_d_ni_spl";"cyli";"spl";"12_part30";0;"F";22
"part30";"0";"1";0;1;"cube_c_i_tri";"cube";"tri";"13_part30";0;"F";22
"part30";"0";"0";1;0;"cyli_c_ni_splt";"cyli";"splt";"14_part30";0;"F";22
"part30";"0";"0";0;1;"cube_c_ni_el";"cube";"el";"15_part30";0;"F";22
"part30";"1";"0";0;0;"cyli_d_ni_spe1";"cyli";"spe1";"16_part30";0;"F";22
"part30";"1";"1";1;1;"sphe_d_i_gc";"sphe";"gc";"17_part30";0;"F";22
"part30";"1";"1";0;0;"cyli_d_i_c";"cyli";"c";"18_part30";0;"F";22
"part30";"0";"0";0;1;"sphe_c_ni_ca";"sphe";"ca";"19_part30";0;"F";22
"part30";"1";"0";0;0;"cube_d_ni_el";"cube";"el";"1_part30";0;"F";22
"part30";"0";"1";1;0;"cone_c_i_tr";"cone";"tr";"20_part30";0;"F";22
"part30";"0";"0";1;0;"cone_c_ni_tr";"cone";"tr";"22_part30";0;"F";22
"part30";"1";"1";1;1;"cone_d_i_bag";"cone";"bag";"23_part30";0;"F";22
"part30";"0";"1";0;1;"cyli_c_i_el";"cyli";"el";"24_part30";0;"F";22
"part30";"0";"1";0;1;"cube_c_i_rec";"cube";"rec";"25_part30";0;"F";22
"part30";"0";"0";1;0;"cyli_c_ni_spe1c";"cyli";"spe1c";"27_part30";0;"F";22
"part30";"1";"0";1;1;"cone_d_ni_rub";"cone";"rub";"28_part30";0;"F";22
"part30";"0";"0";0;1;"cone_c_ni_rub";"cone";"rub";"29_part30";0;"F";22
"part30";"0";"1";0;1;"cube_c_i_car";"cube";"car";"3_part30";0;"F";22
"part30";"0";"1";0;1;"sphe_c_i_pc";"sphe";"pc";"4_part30";0;"F";22
"part30";"0";"0";0;1;"cyli_c_ni_spe1t";"cyli";"spe1t";"5_part30";0;"F";22
"part30";"0";"1";0;1;"cone_c_i_ce";"cone";"ce";"6_part30";0;"F";22
